id,licitacao_id,seq,codigo,descricao,descricao_completa,observacao,qt_solicitada,unidade_medida,valor_unitario,valor_total,cultura,categoria
13,30,1,042106640607,"PINTURA E RESTAURAÇÃO,",,,2.0000,MAO DE OBRA,217.5700,0.00,"pintura e restauração,",OUTRO
14,30,2,,,,,0.0000,,0.0000,0.00,,OUTRO
15,30,3,3,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
16,30,4,,,,,0.0000,,0.0000,0.00,,OUTRO
17,30,5,,,,,0.0000,,0.0000,0.00,,OUTRO
18,30,6,,,,,0.0000,,0.0000,0.00,,OUTRO
19,30,7,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
20,30,8,Selecione um item:Aguardando InícioEm JulgamentoJulgadoAnuladoConcluídoDesertoFracassadoRevogadoNúmero DescartadoSuspenso,Palavra Chave:,,,0.0000,,0.0000,0.00,palavra chave:,OUTRO
21,30,9,1,1,,,0.0000,,0.0000,0.00,1,OUTRO
22,30,10,SegTerQuaQuiSexSábDom123456,,,,0.0000,Seg,0.0000,0.00,,OUTRO
23,30,12,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
30,30,21,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
37,30,29,,,,,0.0000,,0.0000,0.00,,OUTRO
38,30,30,,,,,0.0000,,0.0000,0.00,,OUTRO
39,30,32,quantidade registros:,1240,,,0.0000,,0.0000,0.00,1240,OUTRO
40,30,33,,1,,,2.0000,3,4.0000,5.00,1,OUTRO
41,30,34,PRESTAÇÃO DE SERVIÇOS DE RESTAURAÇÃO DE MESAS E CONFECÇÕES DE BALCÃO PARA RECEPÇÃO,14/10/2019,,,0.0000,,0.0000,0.00,14/10/2019,OUTRO
42,30,35,PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE BANNER E PLACA DE INAUGURAÇÃO PARA UNIDADE ARMAZÉM DA FAMÍLIA SÃO BRAZ,12/11/2019,,,0.0000,,0.0000,0.00,12/11/2019,OUTRO
43,30,36,AQUISIÇÃO DE CAFETEIRA INDUSTRIAL ELÉTRICA 20 LITROS.,18/11/2019,,,0.0000,,0.0000,0.00,18/11/2019,OUTRO
44,30,37,PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE EMPILHADEIRA,18/11/2019,,,0.0000,,0.0000,0.00,18/11/2019,OUTRO
45,30,38,"Aquisição de produtos alimentícios, de higiene e limpeza.",30/07/2019,,,0.0000,,0.0000,0.00,30/07/2019,OUTRO
46,30,39,Licitação:,Aditivo de Processo-3/2019,,,0.0000,Fundo de Abastecimento Alimentar de Curitiba,0.0000,3.00,aditivo de processo-3/2019,OUTRO
47,30,40,Licitação:,Aditivo de Processo-3/2019,,,0.0000,Fundo de Abastecimento Alimentar de Curitiba,0.0000,3.00,aditivo de processo-3/2019,OUTRO
48,30,43,3,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
49,30,47,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
50,30,49,1,1,,,0.0000,,0.0000,0.00,1,OUTRO
52,30,51,,,,,0.0000,,0.0000,0.00,,OUTRO
53,30,53,,,,,0.0000,,0.0000,0.00,,OUTRO
54,30,54,,,,,0.0000,,0.0000,0.00,,OUTRO
55,30,55,,,,,0.0000,,0.0000,0.00,,OUTRO
56,30,57,,,,,0.0000,,0.0000,0.00,,OUTRO
57,30,58,,,,,0.0000,,0.0000,0.00,,OUTRO
59,30,60,,,,,0.0000,,0.0000,0.00,,OUTRO
69,30,11,,,,,0.0000,,0.0000,0.00,,OUTRO
76,30,20,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
83,30,28,,,,,0.0000,,0.0000,0.00,,OUTRO
85,30,31,páginas,quantidade registros:,,,1240.0000,,0.0000,1.00,quantidade registros:,OUTRO
94,30,42,3,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
95,30,46,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
96,30,48,1,1,,,0.0000,,0.0000,0.00,1,OUTRO
98,30,50,,,,,0.0000,,0.0000,0.00,,OUTRO
99,30,52,,,,,0.0000,,0.0000,0.00,,OUTRO
102,30,56,,,,,0.0000,,0.0000,0.00,,OUTRO
110,30,13,,,,,0.0000,,0.0000,0.00,,OUTRO
111,30,14,,,,,0.0000,,0.0000,0.00,,OUTRO
112,30,15,,,,,0.0000,,0.0000,0.00,,OUTRO
113,30,17,,,,,0.0000,,0.0000,0.00,,OUTRO
114,30,18,,,,,0.0000,,0.0000,0.00,,OUTRO
119,36,1,010613522240,"BANNER, CONFECÇÃO,",,,1.0000,MAO DE OBRA,579.0000,0.00,"banner, confecção,",OUTRO
120,36,2,970206658296,"PLACA,",,,1.0000,UNIDADE,869.0000,0.00,"placa,",OUTRO
121,36,3,4,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
122,36,4,,,,,0.0000,,0.0000,0.00,,OUTRO
123,36,5,,,,,0.0000,,0.0000,0.00,,OUTRO
124,36,6,,,,,0.0000,,0.0000,0.00,,OUTRO
125,36,7,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
126,36,8,Selecione um item:Aguardando InícioEm JulgamentoJulgadoAnuladoConcluídoDesertoFracassadoRevogadoNúmero DescartadoSuspenso,Palavra Chave:,,,0.0000,,0.0000,0.00,palavra chave:,OUTRO
127,36,9,5,5,,,0.0000,,0.0000,0.00,5,OUTRO
128,36,10,SegTerQuaQuiSexSábDom123456,,,,0.0000,Seg,0.0000,0.00,,OUTRO
129,36,12,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
136,36,21,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
143,36,29,,,,,0.0000,,0.0000,0.00,,OUTRO
144,36,30,,,,,0.0000,,0.0000,0.00,,OUTRO
145,36,32,quantidade registros:,1240,,,0.0000,,0.0000,0.00,1240,OUTRO
146,36,33,,1,,,2.0000,3,4.0000,5.00,1,OUTRO
147,36,34,PRESTAÇÃO DE SERVIÇOS DE RESTAURAÇÃO DE MESAS E CONFECÇÕES DE BALCÃO PARA RECEPÇÃO,14/10/2019,,,0.0000,,0.0000,0.00,14/10/2019,OUTRO
148,36,35,PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE BANNER E PLACA DE INAUGURAÇÃO PARA UNIDADE ARMAZÉM DA FAMÍLIA SÃO BRAZ,12/11/2019,,,0.0000,,0.0000,0.00,12/11/2019,OUTRO
149,36,36,AQUISIÇÃO DE CAFETEIRA INDUSTRIAL ELÉTRICA 20 LITROS.,18/11/2019,,,0.0000,,0.0000,0.00,18/11/2019,OUTRO
150,36,37,PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE EMPILHADEIRA,18/11/2019,,,0.0000,,0.0000,0.00,18/11/2019,OUTRO
151,36,38,"Aquisição de produtos alimentícios, de higiene e limpeza.",30/07/2019,,,0.0000,,0.0000,0.00,30/07/2019,OUTRO
152,36,39,Licitação:,Dispensa Eletrônica de Licitação-4/2019,,,0.0000,Fundo de Abastecimento Alimentar de Curitiba,0.0000,4.00,dispensa eletrônica de licitação-4/2019,OUTRO
153,36,40,Licitação:,Dispensa Eletrônica de Licitação-4/2019,,,0.0000,Fundo de Abastecimento Alimentar de Curitiba,0.0000,4.00,dispensa eletrônica de licitação-4/2019,OUTRO
154,36,43,4,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
155,36,47,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
156,36,49,5,5,,,0.0000,,0.0000,0.00,5,OUTRO
158,36,51,,,,,0.0000,,0.0000,0.00,,OUTRO
159,36,53,,,,,0.0000,,0.0000,0.00,,OUTRO
160,36,54,,,,,0.0000,,0.0000,0.00,,OUTRO
161,36,55,,,,,0.0000,,0.0000,0.00,,OUTRO
162,36,57,,,,,0.0000,,0.0000,0.00,,OUTRO
163,36,58,,,,,0.0000,,0.0000,0.00,,OUTRO
166,36,61,,,,,0.0000,,0.0000,0.00,,OUTRO
176,36,11,,,,,0.0000,,0.0000,0.00,,OUTRO
183,36,20,Seg,Ter,,,0.0000,Qui,0.0000,0.00,ter,OUTRO
190,36,28,,,,,0.0000,,0.0000,0.00,,OUTRO
192,36,31,páginas,quantidade registros:,,,1240.0000,,0.0000,1.00,quantidade registros:,OUTRO
201,36,42,4,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
202,36,46,0,0,,,0.0000,,0.0000,0.00,0,OUTRO
203,36,48,5,5,,,0.0000,,0.0000,0.00,5,OUTRO
205,36,50,,,,,0.0000,,0.0000,0.00,,OUTRO
206,36,52,,,,,0.0000,,0.0000,0.00,,OUTRO
209,36,56,,,,,0.0000,,0.0000,0.00,,OUTRO
218,36,13,,,,,0.0000,,0.0000,0.00,,OUTRO
219,36,14,,,,,0.0000,,0.0000,0.00,,OUTRO
220,36,15,,,,,0.0000,,0.0000,0.00,,OUTRO
221,36,17,,,,,0.0000,,0.0000,0.00,,OUTRO
222,36,18,,,,,0.0000,,0.0000,0.00,,OUTRO
229,37,1,720703373576,"CAFETEIRA,",,,1.0000,UNIDADE,1800.0000,0.00,"cafeteira,",OUTRO
230,37,2,,,,,0.0000,,0.0000,0.00,,OUTRO
231,37,3,5,Data Abertura:,,,0.0000,,0.0000,0.00,data abertura:,OUTRO
232,37,4,,,,,0.0000,,0.0000,0.00,,OUTRO
