id,processo,tipo_processo,nr_edital,modalidade,orgao,empresa,setor,objeto,dt_abertura,situacao,local_abertura,total_forn_retiraram_edital,total_forn_participantes,canal,relevante_af,url_detalhe,coletado_em
30,AD 3/2019 - SMSAN/FAAC,AD,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,PRESTAÇÃO DE SERVIÇOS DE RESTAURAÇÃO DE MESAS E CONFECÇÕES DE BALCÃO PARA RECEPÇÃO,2019-10-14,Concluído,,0,0,OUTRO,false,#,2026-03-26 01:00:56.031374+00
34,DS 70/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,"Aquisição de produtos alimentícios, de higiene e limpeza.",2019-07-30,Concluído,,0,0,OUTRO,false,#,2026-03-26 01:00:57.316347+00
36,DE 4/2019 - SMSAN/FAAC,DE,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,PRESTAÇÃO DE SERVIÇO DE CONFECÇÃO E INSTALAÇÃO DE BANNER E PLACA DE INAUGURAÇÃO PARA UNIDADE ARMAZÉM DA FAMÍLIA SÃO BRAZ,2019-11-12,Concluído,,0,0,ARMAZEM_FAMILIA,true,#,2026-03-26 01:03:12.876892+00
37,DE 5/2019 - SMSAN/FAAC,DE,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,AQUISIÇÃO DE CAFETEIRA INDUSTRIAL ELÉTRICA 20 LITROS.,2019-11-18,Concluído,,0,0,OUTRO,false,#,2026-03-26 01:03:13.095689+00
38,DE 6/2019 - SMSAN/FAAC,DE,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE EMPILHADEIRA,2019-11-18,Concluído,,0,0,OUTRO,false,#,2026-03-26 01:03:13.295989+00
55,DS 73/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,Aquisição de produtos alimentícios.,2019-08-13,Concluído,,0,0,OUTRO,false,,2026-03-26 01:50:01.223961+00
56,DS 75/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,"Aquisição de produtos alimentícios, de higiene e limpeza.",2019-08-20,Concluído,,0,0,OUTRO,false,,2026-03-26 01:50:01.44593+00
57,DS 77/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,MANUTENÇÃO DE COFRES DOS ARMAZÉNS DA FAMÍLIA,2019-08-22,Concluído,,0,0,OUTRO,false,,2026-03-26 01:50:01.682904+00
58,DS 78/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,"SERVIÇO DE MANUTENÇÃO DE TRATOR , INCLUINDO FORNECIMENTO DE PEÇAS",2019-08-23,Concluído,,0,0,OUTRO,false,,2026-03-26 01:50:01.908371+00
59,DS 79/2019 - SMSAN/FAAC,DS,,,SMSAN/FAAC,Fundo de Abastecimento Alimentar de Curitiba,,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS, HIGIENE E LIMPEZA.",2019-09-10,Concluído,,0,0,OUTRO,false,,2026-03-26 01:50:02.101833+00
