id,licitacao_id,fornecedor_id,retirou_edital,participou,habilitado,vencedor,coletado_em
1,30,1,false,true,true,,2026-03-28 13:41:59.919075+00
3,36,3,false,true,true,,2026-03-28 13:46:06.35522+00
4,36,4,false,true,true,,2026-03-28 13:46:06.741109+00
5,36,5,false,true,true,,2026-03-28 13:46:07.121972+00
6,36,6,false,true,true,,2026-03-28 13:46:07.484811+00
7,36,7,false,true,true,,2026-03-28 13:46:07.847926+00
13,37,13,false,true,true,,2026-03-28 14:44:51.771584+00
14,37,14,false,true,true,,2026-03-28 14:44:52.246212+00
15,37,6,false,true,true,,2026-03-28 14:44:52.632959+00
16,37,16,false,true,true,,2026-03-28 14:44:53.01032+00
17,37,17,false,true,true,,2026-03-28 14:44:53.396591+00
18,37,18,false,true,true,,2026-03-28 14:44:53.787384+00
19,37,19,false,true,true,,2026-03-28 14:44:54.194618+00
27,38,27,false,true,true,,2026-03-28 14:58:56.428059+00
29,34,29,false,true,true,,2026-03-28 15:01:58.253552+00
30,34,30,false,true,true,,2026-03-28 15:01:58.664739+00
31,34,31,false,true,true,,2026-03-28 15:01:59.05437+00
32,34,32,false,true,true,,2026-03-28 15:01:59.441941+00
37,55,37,false,true,true,,2026-03-28 16:23:04.726625+00
38,55,38,false,true,true,,2026-03-28 16:23:05.130304+00
39,55,39,false,true,true,,2026-03-28 16:23:05.508603+00
40,55,40,false,true,true,,2026-03-28 16:23:05.936068+00
41,56,41,false,true,true,,2026-03-28 16:23:39.222622+00
42,56,42,false,true,true,,2026-03-28 16:23:39.596779+00
43,56,43,false,true,true,,2026-03-28 16:23:39.974944+00
44,56,44,false,true,true,,2026-03-28 16:23:40.360824+00
45,56,45,false,true,true,,2026-03-28 16:23:40.851814+00
46,56,38,false,true,true,,2026-03-28 16:23:41.260761+00
47,56,47,false,true,true,,2026-03-28 16:23:41.720821+00
48,56,48,false,true,true,,2026-03-28 16:23:42.20188+00
49,56,49,false,true,true,,2026-03-28 16:23:42.574315+00
50,56,50,false,true,true,,2026-03-28 16:23:42.973899+00
51,56,51,false,true,true,,2026-03-28 16:23:43.359431+00
52,56,52,false,true,true,,2026-03-28 16:23:43.766693+00
53,56,53,false,true,true,,2026-03-28 16:23:44.168904+00
54,56,54,false,true,true,,2026-03-28 16:23:44.582632+00
55,56,55,false,true,true,,2026-03-28 16:23:44.98325+00
56,56,56,false,true,true,,2026-03-28 16:23:45.370093+00
57,56,31,false,true,true,,2026-03-28 16:23:45.764494+00
58,56,58,false,true,true,,2026-03-28 16:23:46.197874+00
59,56,59,false,true,true,,2026-03-28 16:23:46.589672+00
60,56,60,false,true,true,,2026-03-28 16:23:47.018095+00
61,56,61,false,true,true,,2026-03-28 16:23:47.393583+00
62,57,62,false,true,true,,2026-03-28 16:24:09.539218+00
63,58,63,false,true,true,,2026-03-28 16:24:31.947873+00
64,58,64,false,true,true,,2026-03-28 16:24:32.457891+00
65,58,65,false,true,true,,2026-03-28 16:24:32.870594+00
66,59,66,false,true,true,,2026-03-28 16:25:02.192047+00
67,59,67,false,true,true,,2026-03-28 16:25:02.606268+00
68,59,68,false,true,true,,2026-03-28 16:25:03.086751+00
69,59,37,false,true,true,,2026-03-28 16:25:03.64484+00
70,59,70,false,true,true,,2026-03-28 16:25:04.283127+00
71,59,44,false,true,true,,2026-03-28 16:25:04.715143+00
72,59,72,false,true,true,,2026-03-28 16:25:05.117735+00
73,59,73,false,true,true,,2026-03-28 16:25:05.497884+00
74,59,47,false,true,true,,2026-03-28 16:25:05.867676+00
75,59,75,false,true,true,,2026-03-28 16:25:06.230246+00
