cultura,categoria,qtd_itens,valor_total_R$
FRANGO,PROTEINA_ANIMAL,58,38991360.0
TILÁPIA,PROTEINA_ANIMAL,32,22946610.0
MAÇÃ,FRUTAS,158,21986079.0
OVO,PROTEINA_ANIMAL,41,15072576.0
CARNE,PROTEINA_ANIMAL,40,7745136.5
SARDINHA,PROTEINA_ANIMAL,28,7419205.0
TOMATE,HORTIFRUTI,21,5826506.0
ATUM,PROTEINA_ANIMAL,14,3625510.0
HORTALIÇA,HORTIFRUTI,57,3061958.0
BATATA,HORTIFRUTI,21,2357305.0
PERA,FRUTAS,13,1759231.33
TEMPERO,HORTIFRUTI,40,1719770.0
PEPINO,HORTIFRUTI,24,735855.0
MANDIOCA,HORTIFRUTI,16,697370.0
GOIABA,FRUTAS,8,406400.0
FIGO,FRUTAS,3,162000.0
ABACAXI,FRUTAS,2,139400.0
UVA,FRUTAS,38,120563.4
PÊSSEGO,FRUTAS,2,82350.0
ABÓBORA,HORTIFRUTI,10,49380.0
FRUTA,FRUTAS,8,18020.0
AMEIXA,FRUTAS,3,13740.0
ALFACE,HORTIFRUTI,7,5358.0
CENOURA,HORTIFRUTI,5,5130.0
CEBOLA,HORTIFRUTI,7,4830.0
BANANA,FRUTAS,7,4820.0
BETERRABA,HORTIFRUTI,4,4500.0
LARANJA,FRUTAS,6,4170.0
CHUCHU,HORTIFRUTI,3,4130.0
LIMÃO,FRUTAS,5,3720.0
REPOLHO,HORTIFRUTI,6,2436.0
PIMENTA,HORTIFRUTI,4,0.0
ABACATE,FRUTAS,2,0.0
CAQUI,FRUTAS,1,0.0
KIWI,FRUTAS,1,0.0
MAMÃO,FRUTAS,2,0.0
MANGA,FRUTAS,2,0.0
MARACUJÁ,FRUTAS,1,0.0
MELANCIA,FRUTAS,2,0.0
MELÃO,FRUTAS,1,0.0
TANGERINA,FRUTAS,3,0.0
MORANGO,FRUTAS,1,0.0
ABOBRINHA,HORTIFRUTI,1,0.0
BERINJELA,HORTIFRUTI,2,0.0
ERVILHA TORTA,HORTIFRUTI,1,0.0
JILÓ,HORTIFRUTI,2,0.0
PIMENTÃO,HORTIFRUTI,2,0.0
QUIABO,HORTIFRUTI,1,0.0
VAGEM,HORTIFRUTI,2,0.0
ALHO,HORTIFRUTI,4,0.0
BATATA-DOCE,HORTIFRUTI,2,0.0
INHAME,HORTIFRUTI,1,0.0
RABANETE,HORTIFRUTI,1,0.0
BRÓCOLIS,HORTIFRUTI,4,0.0
COENTRO,HORTIFRUTI,1,0.0
COUVE,HORTIFRUTI,4,0.0
COUVE-FLOR,HORTIFRUTI,1,0.0
HORTELÃ,HORTIFRUTI,1,0.0
AGRIÃO,HORTIFRUTI,1,0.0
CEBOLINHA,HORTIFRUTI,1,0.0
ESPINAFRE,HORTIFRUTI,1,0.0
SALSA,HORTIFRUTI,1,0.0
RÚCULA,HORTIFRUTI,1,0.0
