ano,canal,categoria,valor_R$
2019,ARMAZEM_FAMILIA,FRUTAS,9450.0
2019,ARMAZEM_FAMILIA,HORTIFRUTI,57060.0
2019,OUTRO,FRUTAS,669229.0
2019,OUTRO,HORTIFRUTI,418295.0
2019,OUTRO,PROTEINA_ANIMAL,2456015.5
2020,ARMAZEM_FAMILIA,FRUTAS,133380.0
2020,ARMAZEM_FAMILIA,HORTIFRUTI,713048.0
2020,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,4040500.0
2020,OUTRO,FRUTAS,2174592.1
2020,OUTRO,HORTIFRUTI,1391925.0
2020,OUTRO,PROTEINA_ANIMAL,6431765.0
2021,ARMAZEM_FAMILIA,FRUTAS,1041881.33
2021,ARMAZEM_FAMILIA,HORTIFRUTI,875930.0
2021,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,4721570.0
2021,MESA_SOLIDARIA,FRUTAS,716.0
2021,OUTRO,FRUTAS,2622539.0
2021,OUTRO,HORTIFRUTI,1271160.0
2021,OUTRO,PROTEINA_ANIMAL,8894785.0
2022,ARMAZEM_FAMILIA,FRUTAS,5286650.0
2022,ARMAZEM_FAMILIA,HORTIFRUTI,3161310.0
2022,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,21380200.0
2022,MESA_SOLIDARIA,FRUTAS,432.0
2022,OUTRO,FRUTAS,280785.6
2022,OUTRO,PROTEINA_ANIMAL,684500.0
2023,ARMAZEM_FAMILIA,FRUTAS,6492020.0
2023,ARMAZEM_FAMILIA,HORTIFRUTI,3483290.0
2023,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,21410280.0
2023,OUTRO,FRUTAS,1093568.7
2023,OUTRO,HORTIFRUTI,108610.0
2023,OUTRO,PROTEINA_ANIMAL,336960.0
2024,ARMAZEM_FAMILIA,FRUTAS,1753410.0
2024,ARMAZEM_FAMILIA,HORTIFRUTI,467985.0
2024,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,12294862.0
2024,OUTRO,HORTIFRUTI,431590.0
2024,OUTRO,PROTEINA_ANIMAL,3028460.0
2025,ARMAZEM_FAMILIA,FRUTAS,1757470.0
2025,ARMAZEM_FAMILIA,HORTIFRUTI,1520274.0
2025,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,9522700.0
2025,OUTRO,FRUTAS,109500.0
2025,OUTRO,HORTIFRUTI,345911.0
2025,OUTRO,PROTEINA_ANIMAL,436800.0
2026,ARMAZEM_FAMILIA,FRUTAS,1274870.0
2026,ARMAZEM_FAMILIA,HORTIFRUTI,48900.0
2026,ARMAZEM_FAMILIA,PROTEINA_ANIMAL,0.0
2026,OUTRO,HORTIFRUTI,179240.0
2026,OUTRO,PROTEINA_ANIMAL,161000.0
